2017-04-13 01:59:38,650 [MainThread:19324] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-04-13 01:59:44,973 [MainThread:18044] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-04-13 02:02:51,398 [MainThread:19348] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-04-13 02:02:56,673 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-04-13 02:02:56,743 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-04-13 02:02:56,746 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2017-04-13 02:02:56,756 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-04-13 02:02:56,776 [MainThread:18880] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `BOOK_chapter_article` ADD COLUMN `chapter_display` bool DEFAULT %s NOT NULL; (params [True])
2017-04-13 02:02:57,151 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.373) ALTER TABLE `BOOK_chapter_article` ADD COLUMN `chapter_display` bool DEFAULT 1 NOT NULL; args=[True]
2017-04-13 02:02:57,151 [MainThread:18880] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `BOOK_chapter_article` ALTER COLUMN `chapter_display` DROP DEFAULT; (params [])
2017-04-13 02:02:57,161 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.007) ALTER TABLE `BOOK_chapter_article` ALTER COLUMN `chapter_display` DROP DEFAULT; args=[]
2017-04-13 02:02:57,163 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2017-04-13 02:02:57,164 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('BOOK', '0008_chapter_article_chapter_display', '2017-04-12 18:02:57'); args=['BOOK', u'0008_chapter_article_chapter_display', u'2017-04-12 18:02:57']
2017-04-13 02:02:57,168 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-13 02:02:57,171 [MainThread:18880] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
